iter	Passed	Remaining
579	6011	4353
580	6027	4347
581	6041	4339
582	6053	4329
583	6061	4317
584	6075	4309
585	6108	4315
586	6124	4308
587	6146	4306
588	6159	4297
589	6175	4291
590	6191	4284
591	6205	4277
592	6219	4268
593	6237	4263
594	6252	4256
595	6266	4247
596	6280	4239
597	6301	4236
598	6310	4224
599	6318	4212
600	6326	4199
601	6338	4190
602	6351	4181
603	6362	4171
604	6385	4168
605	6400	4161
606	6416	4154
607	6431	4146
608	6444	4137
609	6456	4127
610	6472	4120
611	6482	4109
612	6490	4097
613	6501	4087
614	6516	4079
615	6536	4074
616	6547	4064
617	6563	4056
618	6570	4044
619	6577	4031
620	6589	4021
621	6595	4008
622	6608	3999
623	6622	3990
624	6638	3983
625	6653	3975
626	6659	3961
627	6665	3948
628	6674	3936
629	6683	3925
630	6694	3914
631	6704	3903
632	6712	3891
633	6720	3879
634	6725	3865
635	6730	3852
636	6736	3838
637	6741	3825
638	6748	3812
639	6758	3801
640	6767	3790
641	6785	3783
642	6804	3777
643	6819	3769
644	6829	3758
645	6845	3751
646	6858	3742
647	6869	3731
648	6874	3718
649	6882	3706
650	6890	3694
651	6897	3681
652	6902	3668
653	6908	3654
654	6914	3642
655	6919	3628
656	6924	3615
657	6931	3602
658	6936	3589
659	6941	3575
660	6947	3562
661	6952	3549
662	6957	3536
663	6964	3524
664	6971	3512
665	6981	3501
666	6992	3491
667	7004	3481
668	7026	3476
669	7034	3464
670	7039	3451
671	7044	3438
672	7050	3425
673	7056	3412
674	7061	3399
675	7067	3387
676	7074	3375
677	7080	3362
678	7085	3349
679	7090	3336
680	7096	3324
681	7102	3311
682	7107	3298
683	7115	3287
684	7120	3274
685	7125	3261
686	7131	3249
687	7136	3236
688	7141	3223
689	7147	3211
690	7153	3199
691	7164	3188
692	7172	3177
693	7185	3168
694	7197	3158
695	7203	3146
696	7210	3134
697	7217	3122
698	7224	3110
699	7229	3098
700	7235	3086
701	7240	3073
702	7246	3061
703	7251	3048
704	7257	3036
705	7262	3024
706	7268	3012
707	7274	3000
708	7279	2987
709	7286	2976
710	7291	2963
711	7297	2951
712	7303	2939
713	7308	2927
714	7314	2915
715	7320	2903
716	7325	2891
717	7331	2879
718	7337	2867
719	7342	2855
720	7351	2844
721	7362	2834
722	7377	2826
723	7390	2817
724	7397	2805
725	7404	2794
726	7410	2782
727	7416	2770
728	7427	2761
729	7437	2750
730	7455	2743
731	7465	2733
732	7478	2724
733	7503	2719
734	7522	2712
735	7545	2706
736	7562	2698
737	7580	2691
738	7596	2682
739	7615	2675
740	7634	2668
741	7649	2659
742	7668	2652
743	7684	2644
744	7699	2635
745	7711	2625
746	7732	2618
747	7750	2611
748	7766	2602
749	7782	2594
750	7796	2584
751	7811	2576
752	7821	2565
753	7828	2554
754	7834	2542
755	7840	2530
756	7848	2519
757	7854	2507
758	7861	2496
759	7868	2484
760	7874	2472
761	7879	2461
762	7887	2449
763	7894	2438
764	7901	2427
765	7909	2416
766	7917	2405
767	7925	2394
768	7933	2383
769	7941	2372
770	7954	2362
771	7963	2352
772	7972	2341
773	7984	2331
774	7992	2320
775	8001	2309
776	8008	2298
777	8016	2287
778	8025	2276
779	8032	2265
780	8039	2254
781	8047	2243
782	8055	2232
783	8063	2221
784	8069	2210
785	8074	2198
786	8080	2186
787	8085	2175
788	8093	2164
789	8099	2152
790	8104	2141
791	8109	2129
792	8116	2118
793	8124	2107
794	8130	2096
795	8137	2085
796	8144	2074
797	8153	2064
798	8162	2053
799	8174	2043
800	8187	2034
801	8194	2023
802	8202	2012
803	8209	2001
804	8215	1990
805	8222	1979
806	8227	1967
807	8233	1956
808	8238	1945
809	8244	1933
810	8249	1922
811	8254	1911
812	8259	1899
813	8264	1888
814	8269	1877
815	8274	1865
816	8280	1854
817	8285	1843
818	8290	1832
819	8295	1821
820	8300	1809
821	8306	1798
822	8311	1787
823	8317	1776
824	8322	1765
825	8328	1754
826	8334	1743
827	8339	1732
828	8344	1721
829	8352	1710
830	8366	1701
831	8386	1693
832	8398	1683
833	8418	1675
834	8433	1666
835	8444	1656
836	8460	1647
837	8469	1637
838	8479	1627
839	8496	1618
840	8519	1610
841	8531	1600
842	8556	1593
843	8563	1582
844	8574	1572
845	8583	1562
846	8592	1552
847	8602	1541
848	8628	1534
849	8645	1525
850	8655	1515
851	8660	1504
852	8666	1493
853	8672	1482
854	8680	1472
855	8686	1461
856	8693	1450
857	8700	1440
858	8708	1429
859	8715	1418
860	8722	1408
861	8733	1398
862	8758	1390
863	8774	1381
864	8790	1371
865	8806	1362
866	8825	1353
867	8859	1347
868	8881	1338
869	8897	1329
870	8907	1319
871	8922	1309
872	8928	1298
873	8935	1288
874	8940	1277
875	8946	1266
876	8971	1258
877	8986	1248
878	8996	1238
879	9003	1227
880	9011	1217
881	9018	1206
882	9025	1195
883	9031	1185
884	9036	1174
885	9044	1163
886	9049	1152
887	9055	1142
888	9060	1131
889	9066	1120
890	9073	1109
891	9078	1099
892	9084	1088
893	9089	1077
894	9094	1066
895	9102	1056
896	9111	1046
897	9121	1036
898	9128	1025
899	9136	1015
900	9143	1004
901	9155	994
902	9164	984
903	9175	974
904	9183	964
905	9192	953
906	9206	943
907	9213	933
908	9223	923
909	9230	912
910	9236	902
911	9242	891
912	9248	881
913	9253	870
914	9259	860
915	9264	849
916	9269	839
917	9274	828
918	9279	817
919	9285	807
920	9290	796
921	9295	786
922	9300	775
923	9306	765
924	9311	754
925	9316	744
926	9321	734
927	9326	723
928	9332	713
929	9337	702
930	9343	692
931	9348	682
932	9353	671
933	9362	661
934	9371	651
935	9380	641
936	9389	631
937	9394	620
938	9400	610
939	9408	600
940	9414	590
941	9421	580
942	9427	569
943	9432	559
944	9440	549
945	9448	539
946	9464	529
947	9482	520
948	9524	511
949	9547	502
950	9594	494
951	9641	486
952	9655	476
953	9686	467
954	9721	458
955	9738	448
956	9747	437
957	9755	427
958	9770	417
959	9778	407
960	9803	397
961	9824	388
962	9838	378
963	9853	367
964	9874	358
965	9893	348
966	9906	338
967	9919	327
968	9940	318
969	9959	308
970	9975	297
971	9998	288
972	10008	277
973	10023	267
974	10031	257
975	10041	246
976	10054	236
977	10071	226
978	10091	216
979	10106	206
980	10118	195
981	10136	185
982	10149	175
983	10160	165
984	10173	154
985	10179	144
986	10198	134
987	10209	124
988	10220	113
989	10232	103
990	10243	93
991	10251	82
992	10259	72
993	10268	61
994	10274	51
995	10283	41
996	10295	30
997	10301	20
998	10309	10
999	10316	0
